Mortgage ID,Joint Life,Age 1,Gender 1,Life 1 Status Change Date,Age 2,Gender 2,Life 2 Status Change Date,LTV,AER,Loan Amount,Completion Date,Servicing Fee,Portfolio,Valuation Date
3303,Joint Life,120,Male,44241,80,Female,,0.35705571,0.045627258,132367.51,43678,0.0015,Internal,45657
3304,Single,72,Male,,,,,0.345183293,0.052628355,62452.03,43542,0.0015,Internal,45657
3305,Single,74,Male,,,,,0.342311219,0.045627258,36376.25,43546,0.0015,Internal,45657
3306,Single,66,Female,,,,,0.272667196,0.045627258,155917.43,43545,0.0015,Internal,45657
3307,Joint Life,78,Male,,120,Female,44295,0.436403133,0.049070208,95635.93,43524,0.0015,Internal,45657
3308,Joint Life,64,Male,,64,Female,,0.251982849,0.045627258,60079.52,43564,0.0015,Internal,45657
3309,Joint Life,77,Male,,76,Female,,0.289160679,0.049070208,104984.68,43524,0.0015,Internal,45657
3310,Single,67,Female,,,,,0.326895326,0.047190949,282213.9,43677,0.0015,Internal,45657
3311,Single,79,Female,,,,,0.412564616,0.052628355,52807.22,43521,0.0015,Internal,45657
3312,Joint Life,71,Male,,120,Female,43628,0.379925108,0.0551079,42569.45,43532,0.0015,Internal,45657
3313,Joint Life,72,Male,,76,Male,,0.35587711,0.052628355,128399.9,43558,0.0015,Internal,45657
3314,Joint Life,66,Male,,63,Female,,0.222112382,0.045627258,63148.67,43511,0.0015,Internal,45657
3315,Joint Life,120,Male,44376,77,Female,,0.424433483,0.049070208,206695.18,43543,0.0015,Internal,45657
3316,Joint Life,66,Male,,67,Female,,0.267065466,0.045627258,113801.11,43537,0.0015,Internal,45657
3317,Joint Life,76,Female,,79,Male,,0.367893989,0.052628355,185879.58,43606,0.0015,Internal,45657
3318,Joint Life,120,Male,44357,78,Female,,0.449206177,0.049070208,332200.05,43521,0.0015,Internal,45657
3319,Joint Life,66,Male,,63,Female,,0.282918004,0.052346731,79611.76,43566,0.0015,Internal,45657
3320,Joint Life,74,Male,,71,Female,,0.337194909,0.051057223,63567.97,43628,0.0015,Internal,45657
3321,Joint Life,70,Male,,71,Female,,0.337988202,0.049070208,45104.33,43556,0.0015,Internal,45657
3322,Single,76,Female,,,,,0.349478158,0.050115575,52692,43630,0.0015,Internal,45657
3323,Joint Life,72,Male,,72,Female,,0.311331916,0.045627258,38988.9,43543,0.0015,Internal,45657
3324,Single,66,Female,,,,,0.266604482,0.049070208,365881.51,43579,0.0015,Internal,45657
3325,Single,62,Female,,,,,0.231585035,0.050115575,165136.88,43668,0.0015,Internal,45657
3326,Single,82,Female,,,,,0.478476816,0.050115575,256025.08,43532,0.0015,Internal,45657
3327,Joint Life,71,Male,,69,Female,,0.27223165,0.045627258,45603.99,43522,0.0015,Internal,45657
3328,Joint Life,69,Male,,68,Female,,0.322848336,0.049070208,67644.4,43535,0.0015,Internal,45657
3329,Single,68,Female,,,,,0.317847912,0.049070208,46613.42,43532,0.0015,Internal,45657
3330,Single,66,Female,,,,,0.295138937,0.049070208,85305.64,43545,0.0015,Internal,45657
3331,Single,77,Female,,,,,0.382753127,0.049070208,42576.96,43581,0.0015,Internal,45657
3332,Joint Life,67,Male,,68,Female,,0.295840963,0.049070208,37050.41,43553,0.0015,Internal,45657
3333,Single,66,Female,,,,,0.232067776,0.045627258,21887.22,43523,0.0015,Internal,45657
3334,Joint Life,120,Male,44170,68,Female,,0.261786409,0.045627258,36553.71,43553,0.0015,Internal,45657
3335,Single,76,Female,,,,,0.449173517,0.046547905,107626.18,43560,0.0015,Internal,45657
3336,Joint Life,78,Male,,76,Female,,0.391296573,0.049070208,99516.2,43532,0.0015,Internal,45657
3337,Joint Life,75,Male,,73,Female,,0.363956444,0.045627258,208118.74,43536,0.0015,Internal,45657
3338,Joint Life,77,Female,,91,Male,,0.404444053,0.049070208,157568.41,43517,0.0015,Internal,45657
3339,Joint Life,75,Male,,71,Female,,0.347778809,0.049070208,75903.07,43553,0.0015,Internal,45657
3340,Joint Life,67,Male,,67,Female,,0.303518474,0.049070208,143671.99,43573,0.0015,Internal,45657
3341,Joint Life,68,Female,,120,Male,44354,0.260033872,0.045627258,73356.41,43580,0.0015,Internal,45657
3342,Joint Life,76,Male,,62,Female,,0.229048787,0.045627258,42232.76,43544,0.0015,Internal,45657
3343,Joint Life,72,Male,,71,Female,,0.302737069,0.044377847,30840.47,43579,0.0015,Internal,45657
3344,Joint Life,120,Male,44955,85,Female,,0.444747847,0.050115575,91554.17,43647,0.0015,Internal,45657
3345,Joint Life,69,Male,,68,Female,,0.301740018,0.052628355,52629.12,43524,0.0015,Internal,45657
3346,Single,67,Female,,,,,0.298071576,0.049070208,44430.82,43524,0.0015,Internal,45657
3347,Joint Life,66,Male,,72,Female,,0.182625169,0.045627258,55080.17,43532,0.0015,Internal,45657
3348,Single,63,Female,,,,,0.222503328,0.045627258,34923.88,43521,0.0015,Internal,45657
3349,Joint Life,68,Male,,75,Female,,0.330626618,0.047503944,140571.34,43614,0.0015,Internal,45657
3350,Single,77,Male,,,,,0.493123405,0.047182483,223512.3,43567,0.0015,Internal,45657
3351,Joint Life,70,Male,,68,Female,,0.2631846,0.044377847,44238.44,43553,0.0015,Internal,45657
3352,Joint Life,69,Male,,66,Female,,0.226952324,0.045627258,50021.64,43546,0.0015,Internal,45657
3353,Joint Life,67,Male,,67,Female,,0.300784389,0.052628355,170754.96,43524,0.0015,Internal,45657
3354,Joint Life,76,Male,,75,Female,,0.397468632,0.047503944,446786.89,43585,0.0015,Internal,45657
3355,Joint Life,72,Male,,70,Female,,0.319498482,0.049070208,45117.49,43585,0.0015,Internal,45657
3356,Joint Life,66,Male,,76,Female,,0.293319495,0.047503944,40129.74,43606,0.0015,Internal,45657
3357,Joint Life,66,Male,,64,Female,,0.25933705,0.050115575,69681.18,43535,0.0015,Internal,45657
3358,Joint Life,76,Male,,79,Female,,0.41533308,0.049070208,139588.61,43524,0.0015,Internal,45657
3359,Joint Life,70,Male,,66,Female,,0.265697627,0.045627258,85722.39,43579,0.0015,Internal,45657
3360,Joint Life,70,Male,,69,Female,,0.318016386,0.052628355,48595.51,43552,0.0015,Internal,45657
3361,Joint Life,69,Male,,68,Female,,0.331445207,0.052628355,168637.5,43539,0.0015,Internal,45657
3362,Single,76,Female,,,,,0.372612998,0.049070208,46100.79,43588,0.0015,Internal,45657
3363,Joint Life,68,Female,,75,Male,,0.262494864,0.045627258,29595.49,43535,0.0015,Internal,45657
3364,Joint Life,75,Male,,73,Female,,0.406237027,0.049070208,278754.91,43529,0.0015,Internal,45657
3365,Joint Life,68,Male,,64,Female,,0.231517516,0.045627258,38912.69,43559,0.0015,Internal,45657
3366,Joint Life,64,Male,,73,Female,,0.271541587,0.056314319,62071.22,43551,0.0015,Internal,45657
3367,Joint Life,72,Male,,71,Female,,0.338230734,0.049070208,42360.05,43550,0.0015,Internal,45657
3368,Joint Life,74,Male,,77,Female,,0.295020306,0.049070208,44897.55,43538,0.0015,Internal,45657
3369,Joint Life,85,Male,,74,Female,,0.337526385,0.045627258,372604.16,43580,0.0015,Internal,45657
3370,Joint Life,68,Male,,76,Female,,0.202837385,0.045627258,38420.94,43535,0.0015,Internal,45657
3371,Single,74,Female,,,,,0.335838286,0.045627258,58189.58,43566,0.0015,Internal,45657
3372,Joint Life,84,Male,,80,Female,,0.441202552,0.045627258,906401.77,43579,0.0015,Internal,45657
